run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,24160.0000,0.0271,94.3750,11995.0000,0.0265,12165.0000,0.0277,46.8555,47.5195,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0368,8.0000,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,46.2687,9.9502,36.3184,0.0000,0.0000
rd1,2,999988.0000,48334.0000,0.0229,188.8047,23927.0000,0.0116,24407.0000,0.0340,93.4648,95.3398,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,0.6647,19.0000,0.7495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,93.4579,4.6729,88.7850,0.0000,0.0000
rd1,3,999988.0000,32095.0000,0.0914,125.3711,16072.0000,0.0065,16023.0000,0.1766,62.7812,62.5898,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0347,12.0000,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,90.0901,28.8288,61.2613,0.0000,0.0000
rd1,4,999988.0000,31785.0000,0.1000,124.1602,15853.0000,0.0080,15932.0000,0.1914,61.9258,62.2344,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0318,12.0000,0.2353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,77.6699,9.7087,67.9612,0.0000,0.0000
rd1,5,999988.0000,27682.0000,0.1159,108.1328,13864.0000,0.0060,13818.0000,0.2261,54.1562,53.9766,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.5534,11.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,76.4151,13.2075,63.2075,0.0000,0.0000
rd1,6,999988.0000,23863.0000,0.1313,93.2148,11803.0000,0.0220,12060.0000,0.2383,46.1055,47.1094,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0284,9.0000,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,64.7619,4.7619,60.0000,0.0000,0.0000
rd1,7,999988.0000,32966.0000,0.0900,128.7734,16487.0000,0.0079,16479.0000,0.1721,64.4023,64.3711,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0276,14.0000,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,79.4643,8.0357,71.4286,0.0000,0.0000
rd1,8,999988.0000,29683.0000,0.1027,115.9492,14922.0000,0.0091,14761.0000,0.1973,58.2891,57.6602,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0578,11.0000,0.0275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,74.1071,5.3571,68.7500,0.0000,0.0000
rd1,9,999988.0000,27627.0000,0.1164,107.9180,13777.0000,0.0085,13850.0000,0.2237,53.8164,54.1016,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0279,11.0000,0.0243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,69.4444,5.5556,63.8889,0.0000,0.0000
rd1,10,999988.0000,30967.0000,0.0932,120.9648,15586.0000,0.0063,15381.0000,0.1812,60.8828,60.0820,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.1465,12.0000,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,75.0000,6.2500,68.7500,0.0000,0.0000
rd1,11,999988.0000,32314.0000,0.0852,126.2266,16127.0000,0.0243,16187.0000,0.1459,62.9961,63.2305,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.3919,12.0000,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,67.8261,0.0000,67.8261,0.0000,0.0000
rd1,12,999988.0000,30320.0000,0.0932,118.4375,15219.0000,0.0129,15101.0000,0.1742,59.4492,58.9883,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.0714,12.0000,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,67.5439,0.8772,66.6667,0.0000,0.0000
rd1,13,999988.0000,29824.0000,0.0991,116.5000,14860.0000,0.0082,14964.0000,0.1894,58.0469,58.4531,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0336,12.0000,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,69.1589,0.9346,68.2243,0.0000,0.0000
rd1,14,999988.0000,36170.0000,0.0759,141.2891,18117.0000,0.0110,18053.0000,0.1410,70.7695,70.5195,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0285,15.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,75.6522,0.8696,74.7826,0.0000,0.0000
rd1,15,999988.0000,46229.0000,0.0454,180.5820,23191.0000,0.0058,23038.0000,0.0852,90.5898,89.9922,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0258,17.0000,0.0249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,88.2883,1.8018,86.4865,0.0000,0.0000
rd1,16,999988.0000,34756.0000,0.0736,135.7656,17211.0000,0.0358,17545.0000,0.1107,67.2305,68.5352,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,1.4349,14.0000,1.8286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,69.5652,0.8696,68.6957,0.0000,0.0000
rd1,17,999988.0000,35788.0000,0.0662,139.7969,17991.0000,0.0086,17797.0000,0.1244,70.2773,69.5195,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0315,14.0000,0.0235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,73.6842,0.8772,72.8070,0.0000,0.0000
rd1,18,999988.0000,35945.0000,0.0796,140.4102,17946.0000,0.0068,17999.0000,0.1521,70.1016,70.3086,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2372,14.0000,0.0805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,76.5766,1.8018,74.7748,0.0000,0.0000
rd1,19,999988.0000,34460.0000,0.0872,134.6094,17301.0000,0.0060,17159.0000,0.1692,67.5820,67.0273,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.5751,13.0000,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,74.1071,0.8929,73.2143,0.0000,0.0000
rd1,20,999988.0000,38668.0000,0.0737,151.0469,19506.0000,0.0058,19162.0000,0.1429,76.1953,74.8516,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0412,15.0000,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,81.0345,3.4483,77.5862,0.0000,0.0000
rd1,21,999988.0000,34497.0000,0.0743,134.7539,17216.0000,0.0082,17281.0000,0.1402,67.2500,67.5039,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2424,14.0000,0.0246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,77.8761,1.7699,76.1062,0.0000,0.0000
rd1,22,999988.0000,35762.0000,0.0849,139.6953,17929.0000,0.0271,17833.0000,0.1430,70.0352,69.6602,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2131,14.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,75.9259,0.9259,75.0000,0.0000,0.0000
rd1,23,999988.0000,34387.0000,0.0863,134.3242,17204.0000,0.0058,17183.0000,0.1669,67.2031,67.1211,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.6711,14.0000,0.0317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,72.0721,0.0000,72.0721,0.0000,0.0000
rd1,24,999988.0000,31374.0000,0.1004,122.5547,15700.0000,0.0049,15674.0000,0.1960,61.3281,61.2266,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0296,12.0000,0.0331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,65.7658,0.0000,65.7658,0.0000,0.0000
rd1,25,999988.0000,33770.0000,0.0861,131.9141,16828.0000,0.0057,16942.0000,0.1659,65.7344,66.1797,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0273,12.0000,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,75.0000,1.7857,73.2143,0.0000,0.0000
rd1,26,999988.0000,39379.0000,0.0722,153.8242,19618.0000,0.0083,19761.0000,0.1357,76.6328,77.1914,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0263,17.0000,0.0247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,82.1429,0.0000,82.1429,0.0000,0.0000
rd1,27,999988.0000,32736.0000,0.0822,127.8750,16386.0000,0.0097,16350.0000,0.1549,64.0078,63.8672,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,3.5720,11.0000,0.3305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,64.2857,0.8929,63.3929,0.0000,0.0000
rd1,28,999988.0000,30684.0000,0.1010,119.8594,15242.0000,0.0160,15442.0000,0.1849,59.5391,60.3203,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0303,13.0000,1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,71.5596,0.0000,71.5596,0.0000,0.0000
rd1,29,999988.0000,31851.0000,0.0949,124.4180,15850.0000,0.0077,16001.0000,0.1814,61.9141,62.5039,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.8050,12.0000,0.0193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,70.7965,0.0000,70.7965,0.0000,0.0000
rd1,30,999988.0000,31175.0000,0.1041,121.7773,15704.0000,0.0045,15471.0000,0.2053,61.3438,60.4336,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.2026,13.0000,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,66.0714,0.8929,65.1786,0.0000,0.0000
